osmid,sequences,geometry
421824309,"{34523248: [514, 515, 516]}","LINESTRING (-73.9977832 40.7135026, -73.9978406 40.7135502, -73.9978717 40.713576, -73.9979081 40.7136069, -73.997981 40.7136728)"
1329876948,"{34523248: [520, 521, 522, 523, 524, 525, 526]}","LINESTRING (-73.9976411 40.7134475, -73.9976071 40.7134455, -73.9973672 40.7134633, -73.9972984 40.7134688)"
1135342273,"{34523248: [497, 498, 499, 500, 501, 502, 503, 504, 505]}","LINESTRING (-73.9986438 40.7135233, -73.9988274 40.7135912, -73.9988791 40.7136111, -73.9990891 40.7137104)"
196117014,"{34523248: [517, 518, 519]}","LINESTRING (-73.9977832 40.7135026, -73.9977469 40.7134806, -73.9977088 40.7134635, -73.9976732 40.7134529, -73.9976411 40.7134475)"
1329888403,"{34587040: [1477, 1478, 1479, 1480, 1481, 1482, 1483]}","LINESTRING (-74.0000875 40.7113952, -73.9998048 40.7116754, -73.9997076 40.7117851)"
414751458,"{34587040: [1442, 1443, 1444, 1445]}","LINESTRING (-73.9982694 40.7132906, -73.9983739 40.7133669, -73.9984028 40.7133875, -73.9984485 40.7134189, -73.9984987 40.713449)"
1317756113,"{34612252: [414, 415, 416]}","LINESTRING (-73.9970601 40.714074, -73.9971546 40.714074, -73.9972366 40.7140757)"
1238431029,"{34612252: [798, 799, 800, 801, 802, 803, 804, 805, 806, 807, 808, 809, 810]}","LINESTRING (-73.9962516 40.712875, -73.9970616 40.7128048, -73.9971151 40.7128003)"
1238431028,"{34612252: [811, 812, 813, 814, 815, 816, 817, 818, 819, 820, 821, 822, 823]}","LINESTRING (-73.9979907 40.7127254, -73.9979069 40.7127347, -73.9978476 40.7127396, -73.9971793 40.712795, -73.9971151 40.7128003)"
655255187,"{34612252: [753, 754, 755, 756, 757, 758, 759, 760, 761, 762, 763, 764]}","LINESTRING (-73.9941106 40.7130535, -73.993669 40.7130897, -73.9936348 40.7130924, -73.9932716 40.7131187, -73.9932525 40.7131203)"
612743237,{34612252: [417]},"LINESTRING (-73.9972366 40.7140757, -73.9972752 40.7140773, -73.9973171 40.7140794, -73.9973401 40.7140818, -73.9973622 40.7140844, -73.9973886 40.7140885, -73.997428 40.7140953)"
222299242,"{34587040: [1435, 1436, 1437, 1438, 1439, 1440, 1441]}","LINESTRING (-73.9980743 40.7137811, -73.9984499 40.7136107, -73.998487 40.7135929, -73.9986438 40.7135233)"
1329583056,"{34523248: [489, 490]}","LINESTRING (-73.9994469 40.7138796, -73.9995713 40.7139391)"
196116989,"{34523248: [506, 507, 508, 509, 510, 511, 512, 513]}","LINESTRING (-73.9984987 40.713449, -73.998354 40.7135109, -73.9980976 40.7136209, -73.997981 40.7136728)"
1333670673,"{34612252: [771, 772, 773, 774, 775, 776, 777, 778, 779, 780, 781, 782]}","LINESTRING (-73.9951743 40.7129675, -73.9945492 40.7130191, -73.9944601 40.7130272)"
165775306,"{34587040: [1427, 1428, 1429, 1430, 1431, 1432, 1433, 1434]}","LINESTRING (-73.9975839 40.7140701, -73.9976165 40.7140361, -73.9976442 40.7140084, -73.997675 40.7139841, -73.9977144 40.7139565, -73.9977556 40.7139321, -73.9978071 40.7139044, -73.9978556 40.7138806, -73.997969 40.7138284, -73.9980059 40.7138126, -73.9980743 40.7137811)"
1333670675,"{34612252: [783, 784, 785, 786, 787, 788, 789, 790, 791, 792, 793, 794, 795, 796, 797]}","LINESTRING (-73.9962516 40.712875, -73.9959222 40.7129038, -73.9951743 40.7129675)"
1333670674,"{34612252: [765, 766, 767, 768, 769, 770]}","LINESTRING (-73.9944601 40.7130272, -73.9943797 40.713034, -73.9941106 40.7130535)"
1329844597,"{34612252: [15, 16, 17, 18, 19, 20, 21, 22, 23, 24]}","LINESTRING (-73.9958141 40.7121906, -73.995122 40.7122501)"
1335381157,"{34612252: [401, 402, 403, 404, 405, 406, 407, 408]}","LINESTRING (-73.996085 40.7141484, -73.9962839 40.7141331, -73.9966039 40.7141086)"
1333699601,{34612252: [363]},"LINESTRING (-73.9944601 40.7130272, -73.9944695 40.7130919)"
1329887723,"{34523248: [491, 492, 493, 494, 495, 496]}","LINESTRING (-73.9990891 40.7137104, -73.9994469 40.7138796)"
1333695989,"{34612252: [368, 369, 370, 371, 372, 373]}","LINESTRING (-73.9945069 40.7133434, -73.9945466 40.713611)"
1332815845,"{34612252: [260, 261]}","LINESTRING (-73.9943547 40.7115937, -73.9942643 40.7116012)"
1332815846,"{34612252: [224, 225]}","LINESTRING (-73.9967842 40.7113738, -73.9966625 40.7113902)"
1332819054,"{34612252: [326, 327, 328, 329, 330, 331, 332, 333, 334, 335, 336, 337, 338, 339, 340]}","LINESTRING (-73.9941278 40.7106341, -73.9942549 40.7115356)"
1333226030,"{34612252: [25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]}","LINESTRING (-73.995122 40.7122501, -73.9944427 40.7123103, -73.9943532 40.7123181)"
1332821283,"{34612252: [364, 365, 366, 367]}","LINESTRING (-73.9944695 40.7130919, -73.9945069 40.7133434)"
1332821284,{34612252: [362]},"LINESTRING (-73.9944507 40.7129655, -73.9944601 40.7130272)"
1333668208,"{34612252: [269, 270, 271, 272]}","LINESTRING (-73.9937667 40.7116449, -73.9935027 40.7116718)"
1333419993,"{34523248: [561, 562, 563, 564, 565]}","LINESTRING (-73.9949113 40.7136682, -73.9946773 40.7136879, -73.9945699 40.713696)"
1332821285,"{34612252: [353, 354, 355, 356, 357, 358, 359, 360, 361]}","LINESTRING (-73.9943632 40.7123843, -73.9944507 40.7129655)"
1332821287,"{34612252: [351, 352]}","LINESTRING (-73.9943447 40.71225, -73.9943532 40.7123181)"
1329843417,"{34612252: [4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]}","LINESTRING (-73.9958141 40.7121906, -73.9959232 40.7121817, -73.99661 40.7121256)"
1332821288,"{34612252: [343, 344, 345, 346, 347, 348, 349, 350]}","LINESTRING (-73.9942722 40.7116655, -73.9943447 40.71225)"
1332821289,"{34612252: [341, 342]}","LINESTRING (-73.9942549 40.7115356, -73.9942643 40.7116012, -73.9942722 40.7116655)"
5670058,"{34612252: [824, 825, 826, 827, 828, 829, 830, 831, 832, 833]}","LINESTRING (-73.9977759 40.7119737, -73.9978015 40.712063, -73.9979553 40.7126003, -73.9979753 40.7126703, -73.9979907 40.7127254, -73.9980988 40.7130929, -73.9981107 40.713132, -73.9981212 40.7131521, -73.9981283 40.7131658, -73.9981466 40.713191, -73.9981817 40.7132213, -73.9982253 40.7132605, -73.9982694 40.7132906)"
1252123719,"{34523248: [572, 573, 574]}","LINESTRING (-73.9941975 40.7137267, -73.9940081 40.713743, -73.9939452 40.7137475)"
414894542,"{34612252: [382, 383, 384, 385, 386, 387, 388, 389, 390, 391, 392, 393, 394, 395, 396, 397, 398, 399, 400]}","LINESTRING (-73.9948397 40.7142285, -73.9949005 40.7142293, -73.9949718 40.7142302, -73.9950112 40.7142307, -73.9950688 40.7142263, -73.996085 40.7141484)"
420890077,"{34587040: [1493, 1494, 1495, 1496, 1497, 1498, 1499, 1500]}","LINESTRING (-74.0008579 40.7105451, -74.000653 40.7108282, -74.000597 40.7108966, -74.0004898 40.7109994)"
5670832,"{34662156: [508, 509, 510, 511, 512, 513, 514, 515, 516]}","LINESTRING (-73.9989343 40.7125535, -73.9989016 40.7125321, -73.998878 40.7125136, -73.9988632 40.7124968, -73.9988544 40.7124807, -73.9988453 40.7124553, -73.9987059 40.7119637, -73.9986817 40.711879)"
5671584,"{34612252: [226, 227, 228, 229, 230, 231, 232, 233, 234, 235, 236, 237, 238, 239, 240, 241, 242, 243, 244, 245, 246, 247, 248, 249, 250, 251, 252, 253, 254, 255, 256, 257, 258, 259]}","LINESTRING (-73.9966625 40.7113902, -73.9943547 40.7115937)"
5672911,{34612252: [374]},"LINESTRING (-73.9945466 40.713611, -73.9945576 40.7136566, -73.9945699 40.713696)"
5672971,"{34662164: [218, 219, 220, 221, 222, 223, 224, 225]}","LINESTRING (-73.9978842 40.7137328, -73.9978323 40.7137582, -73.9977808 40.7137867, -73.997733 40.7138154, -73.9976823 40.7138519, -73.9976366 40.7138873, -73.9975914 40.7139222, -73.9975564 40.7139521, -73.9975275 40.7139792, -73.9974891 40.7140183)"
5673424,"{34523248: [527, 528, 529, 530, 531, 532, 533, 534, 535, 536, 537, 538, 539, 540, 541, 542, 543, 544, 545, 546, 547, 548, 549, 550, 551, 552, 553, 554, 555, 556, 557, 558, 559, 560]}","LINESTRING (-73.9972984 40.7134688, -73.9972428 40.7134734, -73.9961467 40.713564, -73.9949113 40.7136682)"
46334663,"{34611252: [110, 111, 112, 113, 114, 115]}","LINESTRING (-73.9941371 40.7142715, -73.994116 40.7142198, -73.9939899 40.7139018, -73.9939731 40.7138542, -73.9939583 40.7138057, -73.9939452 40.7137475)"
195745925,"{34662164: [226, 227]}","LINESTRING (-73.9974891 40.7140183, -73.9974587 40.7140511, -73.997428 40.7140953)"
1328104335,"{34612252: [262, 263, 264, 265, 266, 267, 268]}","LINESTRING (-73.9942643 40.7116012, -73.9941761 40.7116089, -73.9937667 40.7116449)"
1341258157,"{34612252: [409, 410, 411, 412, 413]}","LINESTRING (-73.9966039 40.7141086, -73.9969532 40.7140818)"
584971525,"{34612252: [36, 37, 38, 39, 40, 41, 42, 43, 44, 45]}","LINESTRING (-73.9943532 40.7123181, -73.994287 40.7123237, -73.9939546 40.7123519, -73.9938922 40.7123573, -73.9937507 40.7123696)"
662161062,"{34612252: [375, 376, 377, 378, 379, 380, 381]}","LINESTRING (-73.9945699 40.713696, -73.9945835 40.7137355, -73.9946059 40.7137871, -73.9948121 40.714174, -73.9948397 40.7142285)"
711363473,"{34612252: [273, 274]}","LINESTRING (-73.9935027 40.7116718, -73.9933858 40.7116837, -73.9933337 40.7116892)"
834248946,"{34612252: [275, 276, 277, 278, 279]}","LINESTRING (-73.9933337 40.7116892, -73.9930413 40.7117181)"
1238431052,"{34662160: [3, 4, 5, 6, 7, 8]}","LINESTRING (-73.9997076 40.7117851, -73.9995229 40.7118025, -73.9987412 40.7118737, -73.9986817 40.711879, -73.9986406 40.7118834, -73.9978742 40.7119634, -73.9977759 40.7119737)"
1238431053,"{34612252: [0, 1, 2, 3]}","LINESTRING (-73.99661 40.7121256, -73.9968608 40.7121051, -73.9969066 40.7120956, -73.9969466 40.7120847)"
1252123718,"{34523248: [566, 567, 568, 569, 570, 571]}","LINESTRING (-73.9941975 40.7137267, -73.9944855 40.7137034, -73.9945699 40.713696)"
1333438295,"{34587040: [1468, 1469, 1470, 1471]}","LINESTRING (-73.9994748 40.7120291, -73.9992979 40.7122003)"
1333438296,"{34587040: [1472, 1473, 1474, 1475, 1476]}","LINESTRING (-73.9997076 40.7117851, -73.9996149 40.7118861, -73.9995273 40.7119783, -73.9994748 40.7120291)"
1333438297,"{34587040: [1458, 1459, 1460, 1461, 1462, 1463, 1464, 1465, 1466, 1467]}","LINESTRING (-73.9992979 40.7122003, -73.9989991 40.7124896, -73.9989343 40.7125535, -73.9988818 40.7126054, -73.9987898 40.7126966)"
42786502,"{34587040: [1446, 1447, 1448, 1449, 1450, 1451, 1452, 1453, 1454, 1455, 1456, 1457]}","LINESTRING (-73.9987898 40.7126966, -73.99839 40.7130887, -73.9982948 40.7131842, -73.9982919 40.7131878, -73.9982658 40.7132188, -73.9982577 40.7132392, -73.9982557 40.7132605, -73.9982694 40.7132906)"
1332816547,"{34587040: [1484, 1485, 1486, 1487, 1488, 1489]}","LINESTRING (-74.0003778 40.7111112, -74.0000875 40.7113952)"
5671717,"{34587040: [1490, 1491, 1492]}","LINESTRING (-74.0004898 40.7109994, -74.0003778 40.7111112)"
5670189,"{34612252: [655, 656]}","LINESTRING (-73.997981 40.7136728, -73.9980286 40.7137225, -73.9980743 40.7137811)"
1329369154,"{34611464: [40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50, 51]}","LINESTRING (-73.9987515 40.7142286, -73.9986666 40.7137019, -73.9986603 40.7136525, -73.9986438 40.7135233)"
438901945,"{34612252: [837, 838]}","LINESTRING (-73.9984987 40.713449, -73.9986438 40.7135233)"
